"izskatīties","","выглядеть"
"izrādīties","","оказаться"
"izstrādāt","","разработать"
"taisīt","","изготавливать, делать (своими руками)"
"paveikt","","совершить"
"skatīties","","смотреть"
"skatīt","","обозревать"
"raudzīties","","всматриваться"
"iesaistīties","","вовлечься"
"pārvaldīt","","контролировать"
"mērķis","","цель"
"doties","","отправиться"
"ierasties","","прибыть"
"nokļūt","","добраться"
"vērtēt","","оценивать"
"novērtēt","","оценить"
"mosties","","проснуться"
"apstāties","","остановиться"
"pārvietoties","","передвигаться"
"pagriezties","","повернуть"
"iziet","","выйти"
"ieiet","","войти"
"aizbraukt","","уехать"
"atbraukt","","приехать"
"nonākt","","попасть, оказаться, прибыть"
"apmeklēt","","посетить"
"uzkāpt","","подняться"
"nokāpt","","спуститься"
"justies","","чувствовать"
"uztvert","","воспринимать"
"aizrautība","","увлеченность"
"attaisnojums","","оправдание"
"saprast","","понимать"
"iedomāties","","представлять себе"
"atcerēties","","помнить"
"aizmirst","","забыть"
"domāt","","думать"
"uzskatīt","","считать"
"spriest","","рассуждать"
"pamanīt","","заметить"
"ievērot","","обращать внимание"
"būtisks","","существенный"
"vienkārši","","простой"
"grūts","","сложный"
"sarežģīt","","усложнять"
"milzīgs","","огромный"
"krāšņs","","великолепный"
"skaļš","","громкий"
"kluss","","тихий"
"kliegt","","кричать"
"vājš","","слабый"
"resns","","толстый"
"čakls","","трудолюбивый"
"mērķtiecīgs","","целеустремлённый"
"spītīgs","","упрямый"
"laipns","","вежливый"
"nelaipns","","грубый"
"drosmīgs","","смелый"
"bailīgs","","трусливый"
"izglītots","","образованный"
"neizglītots","","необразованный"
"atvērts","","открытый"
"noslēgts","","замкнутый"
"gudrs","","умный"
"muļķīgs","","глупый"
"godīgs","","честный"
"negodīgs","","нечестный"
"pacietīgs","","терпеливый"
"nepacietīgs","","нетерпеливый"
"kārtīgs","","аккуратный"
"nekārtīgs","","неорганизованный"
"jautrs","","весёлый"
"skumjš","","грустный"
"strādīgs","","трудолюбивый"
"slinks","","ленивый"
"skatīt","","смотреть"
"skatīties","","глядеть"
"uzticams","","надёжный"
"neuzticams","","ненадёжный"
"pārliecināts","","уверенный"
"nepārliecināts","","неуверенный"
"mierīgs","","спокойный"
"nervozs","","нервный"
"skaidrot","","объяснять"
"paskaidrot","","пояснять"
"atsaucīgs","","отзывчивый"
"vienaldzīgs","","равнодушный"
"ambiciozs","","амбициозный"
"egoistisks","","эгоистичный"
"humoristisks","","с чувством юмора"
"te","","здесь"
"tepat","","вот здесь"
"lūk","","смотри"
"nu","","ну"
"teiksim","","скажем"
"tur","","там"
"šeit","","здесь"
"šur","","сюда"
"iekšā","","внутри"
"ārā","","снаружи"
"blakus","","рядом"
"augšā","","наверху"
"lejā","","внизу"
"priekšā","","впереди"
"aiz muguras","","позади"
"ļaut","","позволять"
"atļaut","","разрешать"
"pieļaut","","допускать"
"onkulis","","дядя"
"tante","","тётя"
"brālēns","","двоюродный брат"
"māsīca","","сестра"
"māte","","мать"
"tēvs","","отец"
"māsa","","сестра"
"brālis","","брат"
"bērns","","ребёнок"
"bērni","","дети"
"vecmāmiņa","","бабушка"
"vectētiņš","","дедушка"
"vīrs","","муж"
"sieva","","жена"
"paust","","выразить"
"saistība","","связь"
"saistīts ar","","связанный с"
"pateikties","","поблагодарить"
"paust","","выразить"
"vaicāt","","спрашивать"
"sarunāties","","разговаривать"
"runāt","","говорить"
"teikt","","сказать"
"stāstīt","","рассказывать"
"ziņot","","сообщать"
"atbildēt","","отвечать"
"jautāt","","спрашивать"
"kliegt","","кричать"
"čukstēt","","шептать"
"ārlietas","","иностранные дела"
"ārpolitika","","внешняя политика"
"sabiedrība","","общество"
"valsts","","государство"
"valdība","","правительство"
"prezidents","","президент"
"vēlēšanas","","выборы"
"balsošana","","голосование"
"likums","","закон"
"noteikums","","правило"
"pilsonis","","гражданин"
"pilsonība","","гражданство"
"piemēram","","к примеру"
"ievilkt","","втягивать, вдыхать"
"iezīme","","черта"
"nozīme","","значение"
"miers","","мир, спокойствие"
"kopt","","ухаживать"
"kopa","","группа"
"kopā","","вместе"
"spert","","пинать"
"sperties","","метнуться"
"izdalīt","","распространять"
"krūts","","грудь"
"mīlulis","","любимец"
"algot","","нанимать"
"pirkt","","покупать"
"vaļā","","открыто, свободно"
"paradumi","","привычки"
"veiksme","","удача"
"neveiksme","","неудача"
"ikdiena","","повседневность"
"dzīvesveids","","образ жизни"
"notikums","","событие"
"pieredze","","опыт"
"daba","","природа"
"vide","","среда"
"veselība","","здоровье"
"slimība","","болезнь"
"drošība","","безопасность"
"risks","","риск"
